Driver,DriverNumber,LapTime,LapSeconds,LapNumber,Stint,PitOutTime,PitInTime,Compound,TrackTemp,Year,Session,TyreLife,,,,,,,,,,,,,,Position,,DeletedReason
NOR,4,,,1,1,834.348,963.56,HARD,21.9,2024,1,1,,,,,,,,,,,,,,,,
NOR,4,,,2,2,996.338,1118.32,HARD,22.2,2024,1,2,,,,,,,,,,,,,,,,
NOR,4,,,3,3,1162.063,1284.863,HARD,22.2,2024,1,3,,,,,,,,,,,,,,,,
NOR,4,,,4,4,1317.109,1440.28,HARD,22.6,2024,1,4,,,,,,,,,,,,,,,,
NOR,4,,,5,5,1867.144,,HARD,23.6,2024,1,5,,,,,,,,,,,,,,,,
NOR,4,0 days 00:01:31.210000,91.21,6,5,,,HARD,24.3,2024,1,6,,,,,,,,,,,,,,,,
NOR,4,0 days 00:01:29.730000,89.73,7,5,,,HARD,24.3,2024,1,7,,,,,,,,,,,,,,,,
NOR,4,0 days 00:02:06.025000,126.025,8,5,,,HARD,24.2,2024,1,8,,,,,,,,,,,,,,,,
NOR,4,0 days 00:01:28.770000,88.77,9,5,,,HARD,24.6,2024,1,9,,,,,,,,,,,,,,,,
NOR,4,0 days 00:02:04.278000,124.278,10,5,,,HARD,24.6,2024,1,10,,,,,,,,,,,,,,,,
NOR,4,0 days 00:01:29.519000,89.519,11,5,,2583.306,HARD,24.9,2024,1,11,,,,,,,,,,,,,,,,
NOR,4,,,12,6,3216.001,,SOFT,25.3,2024,1,1,,,,,,,,,,,,,,,,
NOR,4,0 days 00:01:27.836000,87.836,13,6,,,SOFT,26,2024,1,2,,,,,,,,,,,,,,,,
NOR,4,0 days 00:02:23.100000,143.1,14,6,,,SOFT,26.2,2024,1,3,,,,,,,,,,,,,,,,
NOR,4,0 days 00:01:27.420000,87.42,15,6,,,SOFT,26.1,2024,1,4,,,,,,,,,,,,,,,,
NOR,4,0 days 00:01:37.426000,97.426,16,6,,,SOFT,26.1,2024,1,5,,,,,,,,,,,,,,,,
NOR,4,0 days 00:01:30.956000,90.956,17,6,,,SOFT,26.2,2024,1,6,,,,,,,,,,,,,,,,
NOR,4,0 days 00:01:30.464000,90.464,18,6,,,SOFT,27,2024,1,7,,,,,,,,,,,,,,,,
NOR,4,0 days 00:01:30.401000,90.401,19,6,,,SOFT,27.4,2024,1,8,,,,,,,,,,,,,,,,
NOR,4,0 days 00:01:30.556000,90.556,20,6,,,SOFT,28,2024,1,9,,,,,,,,,,,,,,,,
NOR,4,0 days 00:01:30.345000,90.345,21,6,,,SOFT,28,2024,1,10,,,,,,,,,,,,,,,,
NOR,4,0 days 00:01:30.708000,90.708,22,6,,,SOFT,27.7,2024,1,11,,,,,,,,,,,,,,,,
NOR,4,0 days 00:01:30.403000,90.403,23,6,,,SOFT,27.3,2024,1,12,,,,,,,,,,,,,,,,
NOR,4,0 days 00:02:06.925000,126.925,24,6,,,SOFT,27.3,2024,1,13,,,,,,,,,,,,,,,,
NOR,4,0 days 00:02:22.227000,142.227,25,6,,,SOFT,27.2,2024,1,14,,,,,,,,,,,,,,,,
NOR,4,,,26,6,,4796.08,SOFT,27.2,2024,1,15,,,,,,,,,,,,,,,,
NOR,4,,,1,1,907.32,,MEDIUM,29.1,2024,2,1,,,,,,,,,,,,,,,,
NOR,4,0 days 00:01:28.157000,88.157,2,1,,,MEDIUM,29.8,2024,2,2,,,,,,,,,,,,,,,,
NOR,4,0 days 00:02:28.324000,148.324,3,1,,,MEDIUM,29.8,2024,2,3,,,,,,,,,,,,,,,,
NOR,4,0 days 00:01:48.510000,108.51,4,1,,,MEDIUM,30.4,2024,2,4,,,,,,,,,,,,,,,,
NOR,4,0 days 00:01:33.664000,93.664,5,1,,,MEDIUM,30.5,2024,2,5,,,,,,,,,,,,,,,,
NOR,4,0 days 00:02:06.178000,126.178,6,1,,,MEDIUM,30.1,2024,2,6,,,,,,,,,,,,,,,,
NOR,4,0 days 00:01:29.714000,89.714,7,1,,,MEDIUM,29.3,2024,2,7,,,,,,,,,,,,,,,,
NOR,4,0 days 00:02:17.138000,137.138,8,1,,,MEDIUM,30.1,2024,2,8,,,,,,,,,,,,,,,,
NOR,4,0 days 00:01:27.850000,87.85,9,1,,,MEDIUM,31.2,2024,2,9,,,,,,,,,,,,,,,,
NOR,4,0 days 00:01:40.426000,100.426,10,1,,2005.121,MEDIUM,30.1,2024,2,10,,,,,,,,,,,,,,,,
NOR,4,,,11,2,2400.948,,SOFT,30.1,2024,2,1,,,,,,,,,,,,,,,,
NOR,4,0 days 00:01:26.549000,86.549,12,2,,,SOFT,32.1,2024,2,2,,,,,,,,,,,,,,,,
NOR,4,0 days 00:01:43.577000,103.577,13,2,,2706.021,SOFT,32.2,2024,2,3,,,,,,,,,,,,,,,,
NOR,4,,,14,3,2989.545,,MEDIUM,32.4,2024,2,11,,,,,,,,,,,,,,,,
NOR,4,0 days 00:01:31.656000,91.656,15,3,,,MEDIUM,31.2,2024,2,12,,,,,,,,,,,,,,,,
NOR,4,0 days 00:01:31.665000,91.665,16,3,,,MEDIUM,31,2024,2,13,,,,,,,,,,,,,,,,
NOR,4,0 days 00:01:31.753000,91.753,17,3,,,MEDIUM,30.9,2024,2,14,,,,,,,,,,,,,,,,
NOR,4,0 days 00:01:32.520000,92.52,18,3,,,MEDIUM,30,2024,2,15,,,,,,,,,,,,,,,,
NOR,4,0 days 00:01:32.144000,92.144,19,3,,,MEDIUM,29.9,2024,2,16,,,,,,,,,,,,,,,,
NOR,4,0 days 00:01:31.828000,91.828,20,3,,,MEDIUM,29.6,2024,2,17,,,,,,,,,,,,,,,,
NOR,4,0 days 00:01:31.877000,91.877,21,3,,,MEDIUM,29.6,2024,2,18,,,,,,,,,,,,,,,,
NOR,4,0 days 00:01:33.080000,93.08,22,3,,,MEDIUM,29.3,2024,2,19,,,,,,,,,,,,,,,,
NOR,4,0 days 00:01:31.996000,91.996,23,3,,,MEDIUM,29.2,2024,2,20,,,,,,,,,,,,,,,,
NOR,4,0 days 00:01:32.652000,92.652,24,3,,,MEDIUM,28.8,2024,2,21,,,,,,,,,,,,,,,,
NOR,4,0 days 00:01:34.804000,94.804,25,3,,,MEDIUM,28.6,2024,2,22,,,,,,,,,,,,,,,,
NOR,4,0 days 00:01:33.577000,93.577,26,3,,4184.853,MEDIUM,28.3,2024,2,23,,,,,,,,,,,,,,,,
NOR,4,,,1,1,1145.325,,INTERMEDIATE,16.4,2024,3,1,,,,,,,,,,,,,,,,
NOR,4,,,2,2,,1373.251,INTERMEDIATE,16.3,2024,3,2,,,,,,,,,,,,,,,,
NOR,4,,,3,2,1692.133,,INTERMEDIATE,16,2024,3,3,,,,,,,,,,,,,,,,
NOR,4,0 days 00:01:43.697000,103.697,4,2,,,INTERMEDIATE,15.8,2024,3,4,,,,,,,,,,,,,,,,
NOR,4,0 days 00:01:41.955000,101.955,5,2,,,INTERMEDIATE,15.9,2024,3,5,,,,,,,,,,,,,,,,
NOR,4,0 days 00:02:03.314000,123.314,6,2,,,INTERMEDIATE,16.1,2024,3,6,,,,,,,,,,,,,,,,
NOR,4,0 days 00:01:40.364000,100.364,7,2,,,INTERMEDIATE,16.1,2024,3,7,,,,,,,,,,,,,,,,
NOR,4,0 days 00:02:04.116000,124.116,8,2,,,INTERMEDIATE,16.1,2024,3,8,,,,,,,,,,,,,,,,
NOR,4,0 days 00:01:47.988000,107.988,9,2,,,INTERMEDIATE,16.1,2024,3,9,,,,,,,,,,,,,,,,
NOR,4,0 days 00:01:39.118000,99.118,10,2,,,INTERMEDIATE,16,2024,3,10,,,,,,,,,,,,,,,,
NOR,4,0 days 00:01:38.505000,98.505,11,2,,,INTERMEDIATE,16.1,2024,3,11,,,,,,,,,,,,,,,,
NOR,4,0 days 00:01:42.924000,102.924,12,2,,2756.417,INTERMEDIATE,16.2,2024,3,12,,,,,,,,,,,,,,,,
NOR,4,0 days 00:02:03.481000,123.481,13,3,2785.833,,INTERMEDIATE,16.2,2024,3,13,,,,,,,,,,,,,,,,
NOR,4,0 days 00:01:37.812000,97.812,14,3,,,INTERMEDIATE,16.4,2024,3,14,,,,,,,,,,,,,,,,
NOR,4,0 days 00:01:37.714000,97.714,15,3,,,INTERMEDIATE,16.4,2024,3,15,,,,,,,,,,,,,,,,
NOR,4,0 days 00:01:37.976000,97.976,16,3,,,INTERMEDIATE,16.1,2024,3,16,,,,,,,,,,,,,,,,
NOR,4,0 days 00:01:43.719000,103.719,17,3,,3277.125,INTERMEDIATE,15.9,2024,3,17,,,,,,,,,,,,,,,,
NOR,4,,,18,4,4399.42,,INTERMEDIATE,15.8,2024,3,18,,,,,,,,,,,,,,,,
NOR,4,0 days 00:01:57.793000,117.793,19,4,,,INTERMEDIATE,17.4,2024,3,19,,,,,,,,,,,,,,,,
NOR,4,,,20,4,,4772.807,INTERMEDIATE,17.2,2024,3,20,,,,,,,,,,,,,,,,
